SampleID,YEAR,MONTH,REGION,SUB_REGION_NAME,rugosityMethod,rugosity,Acropora,Agaricia,Cladocora,Colpophyllia,Dendrogyra,Dichocoenia,Diploria,Eusmilia,Favia,Helioseris,Isophyllia,Madracis,Manicina,Meandrina,Montastraea,Mussa,Mycetophyllia,Oculina,Orbicella,Other,Phyllangia,Porites,Pseudodiploria,Scolymia,Siderastrea,Solenastrea,Stephanocoenia,Tubastraea
4062915-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.436666667,0,990.858322942221,0,0,395.840674352314,0,0,0,0,0,0,0,0,0,127.234502470387,0,0,0,4746.67161021699,0,0,1085.29459810913,462.992217322796,0,1117.22888743287,0,0,0
4213763-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.256666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8274273593601,0,0,56.2502164625252,0,0,0
4227570-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.203333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.951317163207,0,0,0,18.8495559215388,0,0,528.730043599162,1176.91914785108,0,30.473448739821,0,15.707963267949,0
4275812-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.203333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.588469032184,0,0,0,0,0,0,65.9734457253857,23.5619449019234,0,1112.51649845249,0,0,0
4875456-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.163333333,57.3340659280137,0,0,0,0,67.5442420521806,0,0,0,0,0,0,0,0,435.833148832512,0,0,0,0,0,0,439.006157412638,0,0,2093.8715036176,0,151.503305719368,0
5493693-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4427502-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.63,51.3179159963893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.380520836412,445.320758646353,0,0,0,0,0
4461979-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.35,0,148.558062606627,0,0,0,0,439.822971502571,0,0,0,0,0,0,0,353.429173528852,0,0,0,471.238898038469,0,0,131.742687928288,308.975637480556,0,336.346763474957,0,0,0
4572368-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809.35280738107,60.4756585816035,0,0,0,0,0
4160331-2016,2016,10,PRICO,SWPRICO,WTD_RUG,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.642682502304,0,0,0
6346972-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.163333333,586.692428057894,150.011049208913,0,0,0,70.6858347057703,0,0,0,0,0,0,0,0,0,0,0,0,846.109441428071,0,0,577.895968627842,1528.14920652242,0,678.858902532584,0,0,0
7916182-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.163333333,0,0,0,0,0,26.3893782901543,0,0,0,0,0,23.5619449019234,0,180.248878499714,102.494460323367,0,0,0,0,0,0,353.311363804342,211.821884668292,0,216.337924107827,0,279.641016077661,0
4633968-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.716666667,0,391.371758802582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.495559215388,0,2970.37585396915,0,0,1312.08617177178,518.362787842316,0,0,0,0,0
4861357-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.216666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13906.2598811152,0,0,0,0,0,0
6140735-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.163333333,0,203.10396505458,0,0,0,0,117.181405978899,0,0,0,0,0,0,0,32.9867228626928,0,0,0,0,0,0,302.181943367168,176.832396488935,0,1317.93738808909,0,43.9822971502571,0
4043478-2016,2016,10,PRICO,SWPRICO,WTD_RUG,0.91,0,98.174770424681,0,54.9778714378214,0,76.026542216873,0,0,0,0,0,0,0,183.783170235003,241.902634326414,0,0,0,0,0,0,1556.61203596394,575.775393586669,0,2680.87809094085,0,454.745536607123,0
4318677-2016,2016,10,PRICO,SWPRICO,WTD_RUG,0.176666667,0,0,0,0,0,32.9867228626928,0,0,75.398223686155,0,0,0,0,0,240.331837999619,0,0,0,0,0,0,801.773715104285,0,0,701.360559913921,0,49.4800842940392,0
3898786-2016,2016,10,PRICO,SWPRICO,WTD_RUG,0.243333333,0,377.776516594173,0,1410.7321810945,0,0,0,0,135.716802635079,0,0,0,0,0,87.9645943005142,0,0,0,0,0,0,285.884931476671,120.951317163207,0,384.68802043207,0,100.530964914873,0
4393246-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.216666667,0,0,0,0,0,153.152641862502,0,0,0,0,0,0,0,44.5320758646353,103.672557568463,0,0,0,0,0,0,0,730.263212326947,0,807.232232339897,0,50.2654824574367,0
4447874-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.283333333,0,0,0,0,0,15.707963267949,0,0,0,0,0,0,0,0,175.929188601028,0,0,0,0,0,0,115.453530019425,0,0,147.65485471872,0,0,0
7716651-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.216666667,50.2654824574367,0,0,0,0,0,111.919238284136,0,0,0,0,0,0,0,82.2704576158827,0,0,0,0,0,0,260.359491166254,0,0,98.174770424681,0,15.707963267949,0
4271286-2016,2016,6,PRICO,SWPRICO,WTD_RUG,0.443333333,0,1837.32904752545,0,357.136252860088,0,0,0,0,0,0,0,0,0,332.851741647839,258.63161520678,0,0,0,3072.08491612912,0,0,0,0,0,197.920337176157,0,81.6814089933346,0
4422770-2016,2016,6,PRICO,SWPRICO,WTD_RUG,0.456666667,0,82.4668071567321,0,0,0,19.4386045440868,0,0,0,0,0,0,0,0,322.327406258313,0,0,0,753.98223686155,0,0,1123.93618774828,35.3429173528852,0,2900.94665632482,0,399.924744801981,0
4030319-2016,2016,6,PRICO,SWPRICO,WTD_RUG,0.216666667,0,57.8053048260522,0,0,0,0,0,0,0,0,0,0,0,11.7809724509617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5137136-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.243333333,0,98.5203456165759,0,0,0,357.199084713159,0,0,0,0,0,0,0,0,345.496652078537,0,0,0,0,0,0,668.240319363451,2760.56458859915,0,692.36775094302,0,0,0
4392991-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.216666667,0,0,0,0,0,216.769893097696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.908708376881,900.066295253476,0,131.318572920053,0,0,0
3759836-2021,2021,11,PRICO,SWPRICO,MEAN_RUG,0.316666666666667,0,1716.75472148068,0,0,0,0,0,0,0,0,0,23.5619449019234,0,0,208.523212382022,0,0,0,0,0,0,274.103959025709,12.566370614359201,0,754.296396126909,0,0,0
3760020-2021,2021,11,PRICO,SWPRICO,MEAN_RUG,0.376666666666667,0,445.949077177071,0,0,0,0,0,21.9911485751286,0,0,0,223.838476568273,0,67.5442420521806,0,0,0,0,2554.35044681752,0,0,38.484510006475,32.9867228626928,0,320.04975158446,0,28.2743338823081,0
3931975-2019,2019,10,PRICO,SWPRICO,MEAN_RUG,0.592,0,964.783103917425,0,0,0,0,0,0,0,0,0,0,0,0,1033.58398303104,0,0,0,2227.63266482582,0,0,761.41210348729,0,0,586.629596204822,0,0,0
3801169-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.410666666666667,0,1719.86489820773,0,0,0,0,0,0,0,0,0,1140.3981332531,0,63.6172512351933,0,0,50.2654824574367,0,15529.5050972618,0,0,1093.43132308193,0,0,175.929188601028,0,0,0
3938908-2019,2019,10,PRICO,SWPRICO,MEAN_RUG,0.538666667,0,2489.55509833723,0,120.16591899981,85.4513201776424,0,0,0,0,0,0,0,0,18.8495559215388,794.03754319482,0,0,0,1897.13711766817,0,0,635.182910666052,0,0,252.741128981299,0,53.1557476987393,0
3803053-2021,2021,12,PRICO,SWPRICO,MEAN_RUG,0.337333333333333,0,542.395971642278,0,0,0,0,0,0,0,0,0,19.6349540849362,0,0,0,0,0,0,0,0,0,272.533162698915,0,0,726.807460407999,0,0,0
3883582-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.18,0,241.902634326414,0,0,0,19.6349540849362,376.991118430775,0,0,0,0,150.325208474272,0,204.321332207846,87.1791961371167,0,0,0,0,0,0,0,872.970058616264,0,842.339530243763,0,0,0
4021183-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.132666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.084058391925,112.31193736583501,0,558.103934910227,0,86.3937979737193,0
4041777-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.198,0,103.672557568463,0,0,0,0,0,0,0,0,0,6.28318530717959,0,144.51326206513,1438.45673626243,0,0,0,0,0,0,705.444630363588,0,0,73.5132680940011,0,6.28318530717959,0
4062842-2019,2019,10,PRICO,SWPRICO,MEAN_RUG,0.572666667,0,1023.2167272742,0,0,0,0,0,0,0,0,0,0,0,0,853.570723980347,0,0,0,2568.25199430966,0,0,234.488475663942,0,0,382.834480766452,0,0,0
3966455-2021,2021,5,PRICO,SWPRICO,MEAN_RUG,0.542,0,1467.90916738983,0,989.601685880785,0,0,0,27.4889357189107,0,0,0,435.110582522186,0,241.902634326414,141.371669411541,0,0,0,17255.7081586481,0,0,8291.44841098686,569.41366846315,0,2927.57165406399,0,646.3826884761,0
3980201-2021,2021,5,PRICO,SWPRICO,MEAN_RUG,0.504,0,2734.75640494992,0,2847.46104139745,0,0,0,0,0,117.809724509617,0,82.4668071567321,0,23.5619449019234,95.8185759344887,0,0,0,7074.08125772082,0,0,2453.11262355559,451.603943953533,0,1922.02638546624,0,103.672557568463,0
4097428-2019,2019,12,PRICO,SWPRICO,MEAN_RUG,0.203333333,0,677.798615011998,0,169.646003293849,0,0,0,0,0,0,0,1433.35164820034,0,62.8318530717959,724.765425183165,0,0,0,1413.71669411541,0,0,251.327412287183,0,0,255.097323471491,0,78.5398163397448,0
4028038-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.0886666666666667,0,0,0,0,0,45.3567439362026,0,0,0,0,0,0,0,0,70.6858347057703,0,0,0,0,0,0,615.390876948437,3572.93332492767,0,502.81975818868,70.6858347057703,43.9822971502571,0
